"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30006","Check redirection to Lever application form","tests.web-app-tests","Tue Mar 04 17:15:44 GMT 2025","broken","Tue Mar 04 17:16:14 GMT 2025","","test_qa_career_page","",""
"","81","Update pet details","tests.api-tests","Tue Mar 04 17:14:13 GMT 2025","passed","Tue Mar 04 17:14:13 GMT 2025","","test_petstore_api","",""
"","80","Add pet with invalid id field","tests.api-tests","Tue Mar 04 17:14:14 GMT 2025","passed","Tue Mar 04 17:14:14 GMT 2025","","test_petstore_api","",""
"","63","Check life at insider section in career page is visible","tests.web-app-tests","Tue Mar 04 17:14:31 GMT 2025","passed","Tue Mar 04 17:14:31 GMT 2025","","test_career_page","",""
"","30006","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 17:14:44 GMT 2025","broken","Tue Mar 04 17:15:14 GMT 2025","","test_qa_career_page","",""
"","439","Get pet details","tests.api-tests","Tue Mar 04 17:14:13 GMT 2025","failed","Tue Mar 04 17:14:13 GMT 2025","","test_petstore_api","",""
"","81","Get pet with invalid ID","tests.api-tests","Tue Mar 04 17:14:14 GMT 2025","passed","Tue Mar 04 17:14:14 GMT 2025","","test_petstore_api","",""
"","82","Get pet by status","tests.api-tests","Tue Mar 04 17:14:14 GMT 2025","passed","Tue Mar 04 17:14:14 GMT 2025","","test_petstore_api","",""
"","81","Get pet with invalid ID","tests.api-tests","Tue Mar 04 17:14:14 GMT 2025","passed","Tue Mar 04 17:14:14 GMT 2025","","test_petstore_api","",""
"","81","Delete pet","tests.api-tests","Tue Mar 04 17:14:13 GMT 2025","passed","Tue Mar 04 17:14:13 GMT 2025","","test_petstore_api","",""
"","81","Get pet with invalid ID","tests.api-tests","Tue Mar 04 17:14:14 GMT 2025","passed","Tue Mar 04 17:14:14 GMT 2025","","test_petstore_api","",""
"","227","Get pet by status","tests.api-tests","Tue Mar 04 17:14:13 GMT 2025","passed","Tue Mar 04 17:14:14 GMT 2025","","test_petstore_api","",""
"","7501","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 17:14:36 GMT 2025","passed","Tue Mar 04 17:14:44 GMT 2025","","test_qa_career_page","",""
"","130","Check all locations section in career page is visible","tests.web-app-tests","Tue Mar 04 17:14:31 GMT 2025","passed","Tue Mar 04 17:14:31 GMT 2025","","test_career_page","",""
"","81","Get pet by status","tests.api-tests","Tue Mar 04 17:14:14 GMT 2025","passed","Tue Mar 04 17:14:14 GMT 2025","","test_petstore_api","",""
"","11249","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 17:14:20 GMT 2025","passed","Tue Mar 04 17:14:31 GMT 2025","","test_career_page","",""
"","30006","Check all listed jobs has QA department","tests.web-app-tests","Tue Mar 04 17:15:14 GMT 2025","broken","Tue Mar 04 17:15:44 GMT 2025","","test_qa_career_page","",""
"","83","Add a new pet","tests.api-tests","Tue Mar 04 17:14:13 GMT 2025","passed","Tue Mar 04 17:14:13 GMT 2025","","test_petstore_api","",""
